Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
31,Sun,2023-05-07,,Arouca,,Porto,,,,Head-to-Head,
31,Sun,2023-05-07,,Benfica,,Braga,,,,Head-to-Head,
31,Sun,2023-05-07,,Paços,,Sporting CP,,,,Head-to-Head,
,,,,,,,,,,,
32,Sun,2023-05-14,,Sporting CP,,Marítimo,,,,Head-to-Head,
32,Sun,2023-05-14,,Porto,,Casa Pia AC,,,,Head-to-Head,
32,Sun,2023-05-14,,Estoril,,Arouca,,,,Head-to-Head,
32,Sun,2023-05-14,,Rio Ave,,Vitória,,,,Head-to-Head,
32,Sun,2023-05-14,,Gil Vicente FC,,Boavista,,,,Head-to-Head,
32,Sun,2023-05-14,,Portimonense,,Benfica,,,,Head-to-Head,
32,Sun,2023-05-14,,FC Vizela,,Famalicão,,,,Head-to-Head,
32,Sun,2023-05-14,,Chaves,,Paços,,,,Head-to-Head,
32,Sun,2023-05-14,,Braga,,Santa Clara,,,,Head-to-Head,
,,,,,,,,,,,
33,Sun,2023-05-21,,Marítimo,,FC Vizela,,,,Head-to-Head,
33,Sun,2023-05-21,,Famalicão,,Porto,,,,Head-to-Head,
33,Sun,2023-05-21,,Arouca,,Chaves,,,,Head-to-Head,
33,Sun,2023-05-21,,Boavista,,Braga,,,,Head-to-Head,
33,Sun,2023-05-21,,Santa Clara,,Portimonense,,,,Head-to-Head,
33,Sun,2023-05-21,,Casa Pia AC,,Estoril,,,,Head-to-Head,
33,Sun,2023-05-21,,Paços,,Rio Ave,,,,Head-to-Head,
33,Sun,2023-05-21,,Vitória,,Gil Vicente FC,,,,Head-to-Head,
33,Sun,2023-05-21,,Sporting CP,,Benfica,,,,Head-to-Head,
,,,,,,,,,,,
34,Sun,2023-05-28,,Portimonense,,Arouca,,,,Head-to-Head,
34,Sun,2023-05-28,,Benfica,,Santa Clara,,,,Head-to-Head,
34,Sun,2023-05-28,,Rio Ave,,Famalicão,,,,Head-to-Head,
34,Sun,2023-05-28,,FC Vizela,,Sporting CP,,,,Head-to-Head,
34,Sun,2023-05-28,,Estoril,,Marítimo,,,,Head-to-Head,
34,Sun,2023-05-28,,Porto,,Vitória,,,,Head-to-Head,
34,Sun,2023-05-28,,Chaves,,Boavista,,,,Head-to-Head,
34,Sun,2023-05-28,,Braga,,Paços,,,,Head-to-Head,
34,Sun,2023-05-28,,Gil Vicente FC,,Casa Pia AC,,,,Head-to-Head,
