Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Thu,2022-09-08,18:45 (17:45),PSV Eindhoven nl,1.6,1–1,1.3,no Bodø/Glimt,28627,Philips Stadion,Georgi Kabakov,Match Report,
Group stage,1,Thu,2022-09-08,18:45 (17:45),Malmö se,0.6,0–2,1.7,pt Braga,13721,Swedbank Stadion,Duje Strukan,Match Report,
Group stage,1,Thu,2022-09-08,18:45 (17:45),Union Berlin de,0.5,0–1,0.9,be Union SG,21512,Stadion An der Alten Försterei,Serhiy Boiko,Match Report,
Group stage,1,Thu,2022-09-08,18:45 (17:45),Zürich ch,1.1,1–2,1.8,eng Arsenal,17070,Kybunpark,Mohammed Al Hakim,Match Report,
Group stage,1,Thu,2022-09-08,19:45 (17:45),Fenerbahçe tr,1.3,2–1,0.5,ua Dynamo Kyiv,41895,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Tamás Bognár,Match Report,
Group stage,1,Thu,2022-09-08,19:45 (17:45),Ludogorets bg,1.3,2–1,1.6,it Roma,10011,Ludogorets Arena,Craig Pawson,Match Report,
Group stage,1,Thu,2022-09-08,19:45 (17:45),AÉK Lárnaka cy,0.7,1–2,1.7,fr Rennes,4103,AEK Arena - George Karapatakis,Giorgi Kruashvili,Match Report,
Group stage,1,Thu,2022-09-08,19:45 (17:45),HJK fi,0.3,0–2,2.9,es Betis,10164,Telia 5G -areena,Roi Reinshreiber,Match Report,
Group stage,1,Thu,2022-09-08,20:00,Manchester Utd eng,0.7,0–1,1.0,es Real Sociedad,74310,Old Trafford,Marco Di Bello,Match Report,
Group stage,1,Thu,2022-09-08,21:00 (20:00),Ferencváros hu,2.0,3–2,1.7,tr Trabzonspor,17987,Groupama Arena,Fabio Maresca,Match Report,
Group stage,1,Thu,2022-09-08,21:00 (20:00),Red Star rs,0.8,0–1,1.3,fr Monaco,40226,Stadion Rajko Mitić,Harm Osmers,Match Report,
Group stage,1,Thu,2022-09-08,21:00 (20:00),Lazio it,2.6,4–2,2.6,nl Feyenoord,22763,Stadio Olimpico,Ricardo de Burgos,Match Report,
Group stage,1,Thu,2022-09-08,21:00 (20:00),Freiburg de,2.1,2–1,1.1,az Qarabağ Ağdam,31500,Schwarzwald-Stadion,Erik Lambrechts,Match Report,
Group stage,1,Thu,2022-09-08,21:00 (20:00),Sturm Graz at,2.1,1–0,0.6,dk Midtjylland,10521,Merkur Arena,Aghayev Aliyev,Match Report,
Group stage,1,Thu,2022-09-08,21:00 (20:00),Nantes fr,1.3,2–1,0.2,gr Olympiacos,31276,Stade de la Beaujoire - Louis Fonteneau,Harald Lechner,Match Report,
Group stage,1,Thu,2022-09-08,22:00 (20:00),AC Omonia cy,0.6,0–3,1.7,md Sheriff Tiraspol,11271,Neo GSP,Rade Obrenović,Match Report,
,,,,,,,,,,,,,,
Group stage,2,Thu,2022-09-15,18:45 (17:45),Feyenoord nl,1.5,6–0,0.3,at Sturm Graz,30025,Stadion Feijenoord,Jérôme Brisard,Match Report,
Group stage,2,Thu,2022-09-15,18:45 (17:45),Monaco fr,1.1,0–1,0.3,hu Ferencváros,3931,Stade Louis II.,Espen Andreas Eskås,Match Report,
