Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,2,Tue,2022-09-13,21:00 (20:00),Marseille fr,0.9,0–1,1.2,de Eint Frankfurt,62500,Orange Vélodrome,José Sánchez,Match Report,
Group stage,2,Tue,2022-09-13,21:00 (20:00),Bayern Munich de,1.7,2–0,2.0,es Barcelona,75000,Allianz Arena,Danny Makkelie,Match Report,
Group stage,2,Wed,2022-09-14,18:45 (17:45),Milan it,2.2,3–1,0.4,hr Dinamo Zagreb,61341,Stadio Giuseppe Meazza,Jesús Gil,Match Report,
Group stage,2,Wed,2022-09-14,19:45 (17:45),Shakhtar ua,0.4,1–1,1.5,sct Celtic,20697,Stadion Miejski Legii Warszawa im. Marsz...,Glenn Nyberg,Match Report,
Group stage,2,Wed,2022-09-14,20:00,Rangers sct,1.3,0–3,3.5,it Napoli,50121,Ibrox Stadium,Antonio Matéu Lahoz,Match Report,
Group stage,2,Wed,2022-09-14,20:00,Chelsea eng,1.2,1–1,0.4,at RB Salzburg,38818,Stamford Bridge,Ivan Kružliak,Match Report,
Group stage,2,Wed,2022-09-14,20:00,Manchester City eng,1.0,2–1,0.7,de Dortmund,50441,Etihad Stadium,Daniele Orsato,Match Report,
Group stage,2,Wed,2022-09-14,21:00 (20:00),FC Copenhagen dk,0.7,0–0,0.8,es Sevilla,34910,Parken,Irfan Peljto,Match Report,
Group stage,2,Wed,2022-09-14,21:00 (20:00),Juventus it,0.8,1–2,2.2,pt Benfica,34015,Allianz Stadium,Felix Zwayer,Match Report,
Group stage,2,Wed,2022-09-14,21:00 (20:00),Real Madrid es,0.9,2–0,0.7,de RB Leipzig,54289,Estadio Santiago Bernabéu,Maurizio Mariani,Match Report,
Group stage,2,Wed,2022-09-14,22:00 (20:00),Maccabi Haifa il,1.0,1–3,1.8,fr Paris S-G,30412,Sammy Ofer Stadium,Daniel Siebert,Match Report,
,,,,,,,,,,,,,,
Group stage,3,Tue,2022-10-04,18:45 (17:45),Bayern Munich de,2.4,5–0,0.5,cz Viktoria Plzeň,75000,Allianz Arena,Nikola Dabanović,Match Report,
Group stage,3,Tue,2022-10-04,18:55 (17:55),Marseille fr,2.5,4–1,0.4,pt Sporting CP,618,Orange Vélodrome,Davide Massa,Match Report,
Group stage,3,Tue,2022-10-04,20:00,Liverpool eng,2.9,2–0,0.4,sct Rangers,49512,Anfield,Clément Turpin,Match Report,
Group stage,3,Tue,2022-10-04,20:00,Porto pt,1.1,2–0,1.4,de Leverkusen,42399,Estádio Do Dragão,Anthony Taylor,Match Report,
Group stage,3,Tue,2022-10-04,21:00 (20:00),Eint Frankfurt de,1.0,0–0,1.5,eng Tottenham,50500,Deutsche Bank Park,Daniele Orsato,Match Report,
Group stage,3,Tue,2022-10-04,21:00 (20:00),Inter it,0.2,1–0,0.5,es Barcelona,71368,Stadio Giuseppe Meazza,Slavko Vinčič,Match Report,
Group stage,3,Tue,2022-10-04,21:00 (20:00),Ajax nl,1.4,1–6,3.3,it Napoli,52896,Johan Cruyff ArenA,François Letexier,Match Report,
Group stage,3,Tue,2022-10-04,21:00 (20:00),Club Brugge be,1.3,2–0,2.1,es Atlético Madrid,25667,Jan Breydelstadion,István Kovács,Match Report,
Group stage,3,Wed,2022-10-05,18:45 (17:45),RB Leipzig de,2.2,3–1,0.9,sct Celtic,45228,Red Bull Arena,Espen Andreas Eskås,Match Report,
Group stage,3,Wed,2022-10-05,18:45 (17:45),RB Salzburg at,2.2,1–0,0.7,hr Dinamo Zagreb,28864,Red Bull Arena,Andris Treimanis,Match Report,
