Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,2022-09-03,15:30 (14:30),Leverkusen,1.8,2–3,1.9,Freiburg,26853,BayArena,Sascha Stegemann,Match Report,
5,Sat,2022-09-03,15:30 (14:30),Wolfsburg,1.0,2–4,2.7,Köln,25654,Volkswagen Arena,Matthias Jöllenbeck,Match Report,
5,Sat,2022-09-03,18:30 (17:30),Eint Frankfurt,3.1,4–0,0.2,RB Leipzig,49700,Deutsche Bank Park,Felix Brych,Match Report,
5,Sun,2022-09-04,15:30 (14:30),Augsburg,0.4,0–2,2.1,Hertha BSC,25789,WWK Arena,Harm Osmers,Match Report,
5,Sun,2022-09-04,17:30 (16:30),M'Gladbach,1.2,0–1,0.6,Mainz 05,51210,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
,,,,,,,,,,,,,
6,Fri,2022-09-09,20:30 (19:30),Werder Bremen,1.3,0–1,1.0,Augsburg,41000,Wohninvest-Weserstadion,Martin Petersen,Match Report,
6,Sat,2022-09-10,15:30 (14:30),Bayern Munich,2.2,2–2,1.2,Stuttgart,75000,Allianz Arena,Christian Dingert,Match Report,
6,Sat,2022-09-10,15:30 (14:30),Eint Frankfurt,0.7,0–1,1.0,Wolfsburg,49000,Deutsche Bank Park,Tobias Reichel,Match Report,
6,Sat,2022-09-10,15:30 (14:30),Hertha BSC,1.9,2–2,1.3,Leverkusen,40643,Olympiastadion Berlin,Benjamin Brand,Match Report,
6,Sat,2022-09-10,15:30 (14:30),Hoffenheim,4.2,4–1,0.7,Mainz 05,20114,PreZero Arena,Daniel Schlager,Match Report,
6,Sat,2022-09-10,15:30 (14:30),RB Leipzig,2.0,3–0,0.6,Dortmund,47069,Red Bull Arena,Sven Jablonski,Match Report,
6,Sat,2022-09-10,18:30 (17:30),Schalke 04,1.5,3–1,1.1,Bochum,62041,Veltins-Arena,Felix Zwayer,Match Report,
6,Sun,2022-09-11,15:30 (14:30),Köln,0.6,0–1,1.5,Union Berlin,49500,RheinEnergieSTADION,Benjamin Cortus,Match Report,
6,Sun,2022-09-11,17:30 (16:30),Freiburg,1.1,0–0,1.2,M'Gladbach,34700,Europa-Park Stadion,Tobias Stieler,Match Report,
,,,,,,,,,,,,,
7,Fri,2022-09-16,20:30 (19:30),Mainz 05,0.7,1–1,0.4,Hertha BSC,25300,Mewa Arena,Frank Willenborg,Match Report,
7,Sat,2022-09-17,15:30 (14:30),Dortmund,1.8,1–0,0.1,Schalke 04,81100,Signal Iduna Park,Felix Brych,Match Report,
7,Sat,2022-09-17,15:30 (14:30),Leverkusen,1.8,1–1,2.1,Werder Bremen,30210,BayArena,Tobias Welz,Match Report,
7,Sat,2022-09-17,15:30 (14:30),Stuttgart,1.0,1–3,1.0,Eint Frankfurt,47500,Mercedes-Benz Arena,Daniel Siebert,Match Report,
7,Sat,2022-09-17,15:30 (14:30),Augsburg,1.7,1–0,1.6,Bayern Munich,30660,WWK Arena,Marco Fritz,Match Report,
7,Sat,2022-09-17,18:30 (17:30),M'Gladbach,2.7,3–0,0.9,RB Leipzig,50186,Stadion im Borussia-Park,Patrick Ittrich,Match Report,
7,Sun,2022-09-18,15:30 (14:30),Union Berlin,1.4,2–0,0.3,Wolfsburg,22012,Stadion An der Alten Försterei,Robert Schröder,Match Report,
7,Sun,2022-09-18,17:30 (16:30),Bochum,0.2,1–1,2.1,Köln,25800,Vonovia Ruhrstadion,Bastian Dankert,Match Report,
7,Sun,2022-09-18,19:30 (18:30),Hoffenheim,0.7,0–0,1.0,Freiburg,24233,PreZero Arena,Deniz Aytekin,Match Report,
,,,,,,,,,,,,,
8,Fri,2022-09-30,20:30 (19:30),Bayern Munich,1.9,4–0,0.8,Leverkusen,75000,Allianz Arena,Tobias Stieler,Match Report,
8,Sat,2022-10-01,15:30 (14:30),Freiburg,2.0,2–1,1.6,Mainz 05,34700,Europa-Park Stadion,Sven Jablonski,Match Report,
8,Sat,2022-10-01,15:30 (14:30),Eint Frankfurt,0.8,2–0,1.0,Union Berlin,50500,Deutsche Bank Park,Sascha Stegemann,Match Report,
8,Sat,2022-10-01,15:30 (14:30),Köln,1.9,3–2,2.5,Dortmund,50000,RheinEnergieSTADION,Harm Osmers,Match Report,
8,Sat,2022-10-01,15:30 (14:30),Wolfsburg,2.0,3–2,1.5,Stuttgart,24125,Volkswagen Arena,Felix Zwayer,Match Report,
8,Sat,2022-10-01,15:30 (14:30),RB Leipzig,3.9,4–0,0.1,Bochum,44403,Red Bull Arena,Florian Badstübner,Match Report,
8,Sat,2022-10-01,18:30 (17:30),Werder Bremen,1.9,5–1,2.3,M'Gladbach,42100,Wohninvest-Weserstadion,Matthias Jöllenbeck,Match Report,
8,Sun,2022-10-02,15:30 (14:30),Hertha BSC,0.9,1–1,1.4,Hoffenheim,41653,Olympiastadion Berlin,Christian Dingert,Match Report,
8,Sun,2022-10-02,17:30 (16:30),Schalke 04,1.8,2–3,1.4,Augsburg,60328,Veltins-Arena,Daniel Schlager,Match Report,
,,,,,,,,,,,,,
9,Fri,2022-10-07,20:30 (19:30),Hoffenheim,1.7,1–2,1.3,Werder Bremen,25410,PreZero Arena,Benjamin Cortus,Match Report,
9,Sat,2022-10-08,15:30 (14:30),Bochum,0.6,3–0,0.9,Eint Frankfurt,24850,Vonovia Ruhrstadion,Martin Petersen,Match Report,
9,Sat,2022-10-08,15:30 (14:30),Mainz 05,0.6,1–1,1.0,RB Leipzig,26100,Mewa Arena,Felix Brych,Match Report,
9,Sat,2022-10-08,15:30 (14:30),Augsburg,2.0,1–1,1.8,Wolfsburg,26220,WWK Arena,Daniel Siebert,Match Report,
9,Sat,2022-10-08,15:30 (14:30),Leverkusen,1.5,4–0,0.4,Schalke 04,30210,BayArena,Tobias Reichel,Match Report,
9,Sat,2022-10-08,18:30 (17:30),Dortmund,1.6,2–2,0.6,Bayern Munich,81365,Signal Iduna Park,Deniz Aytekin,Match Report,
9,Sun,2022-10-09,15:30 (14:30),M'Gladbach,3.0,5–2,1.3,Köln,54042,Stadion im Borussia-Park,Sven Jablonski,Match Report,
9,Sun,2022-10-09,17:30 (16:30),Hertha BSC,1.6,2–2,1.0,Freiburg,40481,Olympiastadion Berlin,Robert Schröder,Match Report,
9,Sun,2022-10-09,19:30 (18:30),Stuttgart,1.0,0–1,0.7,Union Berlin,43250,Mercedes-Benz Arena,Bastian Dankert,Match Report,
,,,,,,,,,,,,,
