Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
2,Sat,2022-08-13,21:00 (20:00),Paris S-G,3.2,5–2,0.9,Montpellier,46000,Parc des Princes,Willy Delajod,Match Report,
2,Sun,2022-08-14,15:00 (14:00),Ajaccio,0.5,0–0,1.4,Lens,9070,Stade François Coty,Stéphanie Frappart,Match Report,
2,Sun,2022-08-14,15:00 (14:00),Reims,2.7,2–4,1.9,Clermont Foot,9456,Stade Auguste-Delaune,Johan Hamel,Match Report,
2,Sun,2022-08-14,15:00 (14:00),Auxerre,0.8,2–2,1.4,Angers,15577,Stade de l'Abbé Deschamps,Ruddy Buquet,Match Report,
2,Sun,2022-08-14,15:00 (14:00),Troyes,1.0,0–3,1.5,Toulouse,6000,Stade de l'Aube,Marc Bollengier,Match Report,
2,Sun,2022-08-14,17:05 (16:05),Nice,1.6,1–1,0.9,Strasbourg,24707,Stade de Nice,Hakim Ben El Hadj Salem,Match Report,
2,Sun,2022-08-14,20:45 (19:45),Brest,2.0,1–1,0.7,Marseille,13709,Stade Francis-Le Blé,Jeremy Stinat,Match Report,
,,,,,,,,,,,,,
3,Fri,2022-08-19,21:00 (20:00),Lyon,2.6,4–1,1.0,Troyes,43000,Matmut Stadium de Gerland,Eric Wattellier,Match Report,
3,Sat,2022-08-20,17:00 (16:00),Monaco,1.6,1–4,2.5,Lens,8700,Stade Louis II.,Willy Delajod,Match Report,
3,Sat,2022-08-20,21:00 (20:00),Marseille,1.1,2–1,2.2,Nantes,63147,Orange Vélodrome,Jérémie Pignard,Match Report,
3,Sun,2022-08-21,13:00 (12:00),Strasbourg,1.2,1–1,2.0,Reims,25175,Stade de la Meinau,Ruddy Buquet,Match Report,
3,Sun,2022-08-21,15:00 (14:00),Montpellier,1.0,1–2,1.3,Auxerre,13137,Stade de la Mosson,Mathieu Vernice,Match Report,
3,Sun,2022-08-21,15:00 (14:00),Clermont Foot,0.7,1–0,1.4,Nice,11500,Stade Gabriel Montpied,Thomas Léonard,Match Report,
3,Sun,2022-08-21,15:00 (14:00),Angers,0.6,1–3,1.8,Brest,8735,Stade Raymond Kopa,Jérôme Brisard,Match Report,
3,Sun,2022-08-21,15:00 (14:00),Toulouse,1.8,2–2,2.5,Lorient,23862,Stadium Municipal,Gustavo Correia,Match Report,
3,Sun,2022-08-21,17:05 (16:05),Rennes,1.2,2–1,1.4,Ajaccio,27592,Roazhon Park,Hakim Ben El Hadj Salem,Match Report,
3,Sun,2022-08-21,20:45 (19:45),Lille,1.7,1–7,3.4,Paris S-G,47526,Decathlon Arena - Stade Pierre-Mauroy,Clément Turpin,Match Report,
,,,,,,,,,,,,,
4,Fri,2022-08-26,21:00 (20:00),Ajaccio,1.5,1–3,1.7,Lille,9070,Stade François Coty,Thomas Léonard,Match Report,
4,Sat,2022-08-27,17:00 (16:00),Auxerre,0.7,1–0,1.3,Strasbourg,16059,Stade de l'Abbé Deschamps,Johan Hamel,Match Report,
4,Sat,2022-08-27,21:00 (20:00),Lens,1.3,2–1,1.0,Rennes,37848,Stade Bollaert-Delelis,Jérôme Brisard,Match Report,
4,Sun,2022-08-28,13:00 (12:00),Nantes,1.5,3–1,0.6,Toulouse,26574,Stade de la Beaujoire - Louis Fonteneau,Mathieu Vernice,Match Report,
4,Sun,2022-08-28,15:00 (14:00),Lorient,2.9,2–1,0.6,Clermont Foot,10591,Stade Yves Allainmat - Le Moustoir,Willy Delajod,Match Report,
4,Sun,2022-08-28,15:00 (14:00),Brest,0.2,0–7,2.5,Montpellier,11546,Stade Francis-Le Blé,Marc Bollengier,Match Report,
4,Sun,2022-08-28,15:00 (14:00),Nice,1.0,0–3,1.4,Marseille,31418,Stade de Nice,François Letexier,Match Report,
4,Sun,2022-08-28,15:00 (14:00),Troyes,1.9,3–1,0.7,Angers,6673,Stade de l'Aube,Stéphanie Frappart,Match Report,
4,Sun,2022-08-28,17:05 (16:05),Reims,0.4,1–1,1.1,Lyon,14930,Stade Auguste-Delaune,Jeremy Stinat,Match Report,
4,Sun,2022-08-28,20:45 (19:45),Paris S-G,2.7,1–1,1.2,Monaco,46000,Parc des Princes,Benoît Bastien,Match Report,
,,,,,,,,,,,,,
5,Wed,2022-08-31,19:00 (18:00),Strasbourg,0.4,1–1,1.2,Nantes,25162,Stade de la Meinau,Clément Turpin,Match Report,
5,Wed,2022-08-31,19:00 (18:00),Monaco,1.2,2–4,2.2,Troyes,4045,Stade Louis II.,Ruddy Buquet,Match Report,
5,Wed,2022-08-31,19:00 (18:00),Lyon,2.6,2–1,0.7,Auxerre,38609,Matmut Stadium de Gerland,Pierre Gaillouste,Match Report,
5,Wed,2022-08-31,19:00 (18:00),Angers,1.7,2–4,2.3,Reims,6500,Stade Raymond Kopa,Jérémie Pignard,Match Report,
5,Wed,2022-08-31,19:00 (18:00),Montpellier,1.7,2–0,1.2,Ajaccio,10051,Stade Raoul-Barrière,Bastien Dechepy,Match Report,
5,Wed,2022-08-31,21:00 (20:00),Toulouse,0.8,0–3,2.8,Paris S-G,31700,Stadium Municipal,Hakim Ben El Hadj Salem,Match Report,
5,Wed,2022-08-31,21:00 (20:00),Lille,0.9,1–2,1.6,Nice,30254,Decathlon Arena - Stade Pierre-Mauroy,Jeremy Stinat,Match Report,
5,Wed,2022-08-31,21:00 (20:00),Rennes,1.5,3–1,0.5,Brest,27392,Roazhon Park,Benoît Millot,Match Report,
5,Wed,2022-08-31,21:00 (20:00),Marseille,2.5,1–0,0.1,Clermont Foot,62763,Orange Vélodrome,Eric Wattellier,Match Report,
5,Wed,2022-08-31,21:00 (20:00),Lens,3.0,5–2,1.1,Lorient,37161,Stade Bollaert-Delelis,Benoît Bastien,Match Report,
,,,,,,,,,,,,,
6,Sat,2022-09-03,17:00 (16:00),Auxerre,0.6,0–2,1.6,Marseille,17025,Stade de l'Abbé Deschamps,Willy Delajod,Match Report,
6,Sat,2022-09-03,19:00 (18:00),Lyon,1.4,5–0,1.0,Angers,39586,Groupama Stadium,Thomas Léonard,Match Report,
6,Sat,2022-09-03,21:00 (20:00),Nantes,0.4,0–3,2.7,Paris S-G,34406,Stade de la Beaujoire - Louis Fonteneau,Pierre Gaillouste,Match Report,
6,Sun,2022-09-04,13:00 (12:00),Montpellier,0.5,1–3,1.6,Lille,12215,Stade de la Mosson,Jérôme Brisard,Match Report,
6,Sun,2022-09-04,15:00 (14:00),Clermont Foot,1.3,2–0,1.3,Toulouse,10085,Stade Gabriel Montpied,François Letexier,Match Report,
6,Sun,2022-09-04,15:00 (14:00),Reims,2.1,1–1,1.9,Lens,15761,Stade Auguste-Delaune,Eric Wattellier,Match Report,
6,Sun,2022-09-04,15:00 (14:00),Brest,0.8,1–1,2.4,Strasbourg,11003,Stade Francis-Le Blé,Bastien Dechepy,Match Report,
6,Sun,2022-09-04,15:00 (14:00),Ajaccio,0.5,0–1,0.8,Lorient,7000,Stade François Coty,Jeremy Stinat,Match Report,
6,Sun,2022-09-04,17:05 (16:05),Troyes,0.9,1–1,2.4,Rennes,8000,Stade de l'Aube,Mathieu Vernice,Match Report,
6,Sun,2022-09-04,20:45 (19:45),Nice,0.7,0–1,1.1,Monaco,24125,Stade de Nice,Benoît Millot,Match Report,
,,,,,,,,,,,,,
2,Wed,2022-09-07,19:00 (18:00),Lorient,1.0,3–1,2.2,Lyon,13685,Stade Yves Allainmat - Le Moustoir,Bastien Dechepy,Match Report,
,,,,,,,,,,,,,
7,Fri,2022-09-09,21:00 (20:00),Lens,1.4,1–0,0.7,Troyes,37344,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Match Report,
