Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,2022-09-03,15:00 (14:00),Fiorentina,1.9,1–1,0.9,Juventus,36550,Stadio Artemio Franchi,Daniele Doveri,Match Report,
5,Sat,2022-09-03,18:00 (17:00),Milan,1.5,3–2,1.6,Inter,75475,Stadio Giuseppe Meazza,Daniele Chiffi,Match Report,
5,Sat,2022-09-03,20:45 (19:45),Lazio,0.4,1–2,2.1,Napoli,39000,Stadio Olimpico,Simone Sozza,Match Report,
5,Sun,2022-09-04,12:30 (11:30),Cremonese,0.5,0–0,1.6,Sassuolo,9105,Stadio Giovanni Zin,Luca Pairetto,Match Report,
5,Sun,2022-09-04,15:00 (14:00),Spezia,0.9,2–2,1.4,Bologna,7555,Stadio Alberto Picco,Antonio Giua,Match Report,
5,Sun,2022-09-04,18:00 (17:00),Hellas Verona,1.9,2–1,0.7,Sampdoria,16675,Stadio Marc'Antonio Bentegodi,Paolo Valeri,Match Report,
5,Sun,2022-09-04,20:45 (19:45),Udinese,1.2,4–0,0.9,Roma,24108,Dacia Arena,Fabio Maresca,Match Report,
5,Mon,2022-09-05,18:30 (17:30),Salernitana,1.3,2–2,0.7,Empoli,18173,Stadio Arechi,Rosario Abisso,Match Report,
5,Mon,2022-09-05,18:30 (17:30),Monza,0.7,0–2,1.7,Atalanta,11970,Stadio Comunale Brianteo,Juan Sacchi,Match Report,
5,Mon,2022-09-05,20:45 (19:45),Torino,1.2,1–0,0.5,Lecce,19087,Stadio Olimpico di Torino,Manuel Volpi,Match Report,
,,,,,,,,,,,,,
6,Sat,2022-09-10,15:00 (14:00),Napoli,2.1,1–0,0.4,Spezia,32839,Stadio San Paolo,Alberto Santoro,Match Report,
6,Sat,2022-09-10,18:00 (17:00),Inter,0.9,1–0,0.7,Torino,69134,Stadio Giuseppe Meazza,Giovanni Ayroldi,Match Report,
6,Sat,2022-09-10,20:45 (19:45),Sampdoria,0.7,1–2,1.9,Milan,23049,Stadio Comunale Luigi Ferraris,Michael Fabbri,Match Report,
6,Sun,2022-09-11,12:30 (11:30),Atalanta,0.7,1–1,0.5,Cremonese,18252,Stadio Atleti Azzurri d'Italia,Andrea Colombo,Match Report,
6,Sun,2022-09-11,15:00 (14:00),Bologna,1.3,2–1,1.5,Fiorentina,18901,Stadio Renato Dall'Ara,Daniele Orsato,Match Report,
6,Sun,2022-09-11,15:00 (14:00),Sassuolo,0.3,1–3,2.2,Udinese,8694,Stadio Città del Tricolore,Giacomo Camplone,Match Report,
6,Sun,2022-09-11,15:00 (14:00),Lecce,0.7,1–1,0.1,Monza,23391,Stadio Comunale Via Del Mare,Luca Pairetto,Match Report,
6,Sun,2022-09-11,18:00 (17:00),Lazio,1.3,2–0,0.3,Hellas Verona,38000,Stadio Olimpico,Massimiliano Irrati,Match Report,
6,Sun,2022-09-11,20:45 (19:45),Juventus,2.2,2–2,1.6,Salernitana,35097,Allianz Stadium,Matteo Marcenaro,Match Report,
6,Mon,2022-09-12,20:45 (19:45),Empoli,1.6,1–2,2.6,Roma,4560,Stadio Carlo Castellani,Livio Marinelli,Match Report,
,,,,,,,,,,,,,
7,Fri,2022-09-16,20:45 (19:45),Salernitana,0.8,1–2,1.1,Lecce,19488,Stadio Arechi,Daniele Doveri,Match Report,
7,Sat,2022-09-17,15:00 (14:00),Bologna,1.4,0–1,1.4,Empoli,15670,Stadio Renato Dall'Ara,Manuel Volpi,Match Report,
7,Sat,2022-09-17,18:00 (17:00),Spezia,0.8,2–1,1.0,Sampdoria,10000,Stadio Alberto Picco,Simone Sozza,Match Report,
7,Sat,2022-09-17,20:45 (19:45),Torino,0.8,0–1,0.6,Sassuolo,14822,Stadio Olimpico di Torino,Niccolò Baroni,Match Report,
7,Sun,2022-09-18,12:30 (11:30),Udinese,1.3,3–1,0.8,Inter,22475,Dacia Arena,Paolo Valeri,Match Report,
7,Sun,2022-09-18,15:00 (14:00),Fiorentina,2.4,2–0,0.8,Hellas Verona,32216,Stadio Artemio Franchi,Antonio Rapuano,Match Report,
7,Sun,2022-09-18,15:00 (14:00),Cremonese,1.3,0–4,3.5,Lazio,12991,Stadio Giovanni Zin,Daniele Orsato,Match Report,
7,Sun,2022-09-18,15:00 (14:00),Monza,2.0,1–0,1.1,Juventus,12878,Stadio Comunale Brianteo,Fabio Maresca,Match Report,
7,Sun,2022-09-18,18:00 (17:00),Roma,2.5,0–1,0.2,Atalanta,61335,Stadio Olimpico,Daniele Chiffi,Match Report,
