Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
4,Mon,2022-09-05,21:00 (20:00),Valladolid,1.3,1–0,0.6,Almería,20260,Estadio Municipal José Zorrilla,Pablo González,Match Report,
,,,,,,,,,,,,,
5,Fri,2022-09-09,21:00 (20:00),Girona,1.9,2–1,0.8,Valladolid,10053,Estadi Municipal de Montilivi,César Soto,Match Report,
5,Sat,2022-09-10,14:00 (13:00),Rayo Vallecano,1.0,2–1,1.4,Valencia,12085,Estadio del Rayo Vallecano,Jesús Gil,Match Report,
5,Sat,2022-09-10,16:15 (15:15),Espanyol,2.4,2–3,1.8,Sevilla,20135,RCDE Stadium,Guillermo Cuadra,Match Report,
5,Sat,2022-09-10,18:30 (17:30),Cádiz,0.3,0–4,3.0,Barcelona,19530,Estadio Nuevo Mirandilla,Carlos del Cerro,Match Report,
5,Sat,2022-09-10,21:00 (20:00),Atlético Madrid,0.8,4–1,1.4,Celta Vigo,52247,Estadio Wanda Metropolitano,Alejandro Hernández,Match Report,
5,Sun,2022-09-11,14:00 (13:00),Real Madrid,1.6,4–1,0.4,Mallorca,54816,Estadio Santiago Bernabéu,Jorge Figueroa,Match Report,
5,Sun,2022-09-11,16:15 (15:15),Elche,0.9,1–4,2.2,Athletic Club,24176,Estadio Manuel Martínez Valero,Mario Melero,Match Report,
5,Sun,2022-09-11,18:30 (17:30),Getafe,1.1,2–1,1.0,Real Sociedad,11112,Coliseum Alfonso Pérez,Juan Pulido,Match Report,
5,Sun,2022-09-11,21:00 (20:00),Betis,1.2,1–0,2.0,Villarreal,53276,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
5,Mon,2022-09-12,21:00 (20:00),Almería,0.3,0–1,2.1,Osasuna,12397,Estadio de los Juegos Mediterráneos,Javier Villanueva,Match Report,
,,,,,,,,,,,,,
6,Fri,2022-09-16,21:00 (20:00),Valladolid,1.4,0–1,0.4,Cádiz,20295,Estadio Municipal José Zorrilla,José Sánchez,Match Report,
