Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Wed,2022-08-31,19:00 (18:00),Strasbourg,0.3,1–1,0.7,Nantes,25162,Stade de la Meinau,Clément Turpin,Match Report,
5,Wed,2022-08-31,21:00 (20:00),Lens,2.7,5–2,1.2,Lorient,37161,Stade Bollaert-Delelis,Benoît Bastien,Match Report,
5,Wed,2022-08-31,21:00 (20:00),Toulouse,0.8,0–3,3.0,Paris S-G,31700,Stadium Municipal,Hakim Ben El Hadj Salem,Match Report,
5,Wed,2022-08-31,21:00 (20:00),Rennes,1.2,3–1,0.4,Brest,27392,Roazhon Park,Benoît Millot,Match Report,
5,Wed,2022-08-31,21:00 (20:00),Marseille,2.5,1–0,0.1,Clermont Foot,62763,Orange Vélodrome,Eric Wattellier,Match Report,
5,Wed,2022-08-31,21:00 (20:00),Lille,0.9,1–2,1.6,Nice,30254,Stade Pierre-Mauroy,Jeremy Stinat,Match Report,
,,,,,,,,,,,,,
6,Sat,2022-09-03,17:00 (16:00),Auxerre,0.6,0–2,1.8,Marseille,17025,Stade de l'Abbé Deschamps,Willy Delajod,Match Report,
6,Sat,2022-09-03,19:00 (18:00),Lyon,1.6,5–0,0.7,Angers,39586,Groupama Stadium,Thomas Léonard,Match Report,
6,Sat,2022-09-03,21:00 (20:00),Nantes,0.5,0–3,3.7,Paris S-G,34406,Stade de la Beaujoire - Louis Fonteneau,Pierre Gaillouste,Match Report,
6,Sun,2022-09-04,13:00 (12:00),Montpellier,0.5,1–3,1.6,Lille,12215,Stade de la Mosson,Jérôme Brisard,Match Report,
6,Sun,2022-09-04,15:00 (14:00),Brest,0.6,1–1,1.8,Strasbourg,11003,Stade Francis-Le Blé,Bastien Dechepy,Match Report,
6,Sun,2022-09-04,15:00 (14:00),Clermont Foot,1.5,2–0,1.0,Toulouse,10085,Stade Gabriel Montpied,François Letexier,Match Report,
6,Sun,2022-09-04,15:00 (14:00),Reims,2.0,1–1,2.0,Lens,15761,Stade Auguste-Delaune II,Eric Wattellier,Match Report,
6,Sun,2022-09-04,15:00 (14:00),Ajaccio,0.8,0–1,0.6,Lorient,7000,Stade François Coty,Jeremy Stinat,Match Report,
6,Sun,2022-09-04,17:05 (16:05),Troyes,0.7,1–1,2.2,Rennes,8000,Stade de l'Aube,Mathieu Vernice,Match Report,
6,Sun,2022-09-04,20:45 (19:45),Nice,1.0,0–1,0.7,Monaco,24125,Stade de Nice,Benoît Millot,Match Report,
,,,,,,,,,,,,,
2,Wed,2022-09-07,19:00 (18:00),Lorient,1.4,3–1,2.2,Lyon,13685,Stade Yves Allainmat - Le Moustoir,Bastien Dechepy,Match Report,
,,,,,,,,,,,,,
7,Fri,2022-09-09,21:00 (20:00),Lens,1.1,1–0,0.8,Troyes,37344,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Match Report,
7,Sat,2022-09-10,17:00 (16:00),Paris S-G,1.5,1–0,1.1,Brest,45000,Parc des Princes,Jérémie Pignard,Match Report,
7,Sat,2022-09-10,21:00 (20:00),Marseille,2.0,2–1,1.0,Lille,62985,Orange Vélodrome,Benoît Millot,Match Report,
7,Sun,2022-09-11,13:00 (12:00),Strasbourg,1.7,0–0,1.0,Clermont Foot,25089,Stade de la Meinau,Marc Bollengier,Match Report,
7,Sun,2022-09-11,15:00 (14:00),Angers,2.4,2–1,0.7,Montpellier,6165,Stade Raymond Kopa,François Letexier,Match Report,
7,Sun,2022-09-11,15:00 (14:00),Toulouse,1.5,1–0,0.7,Reims,21315,Stadium Municipal,Stéphanie Frappart,Match Report,
7,Sun,2022-09-11,15:00 (14:00),Lorient,1.3,3–2,0.6,Nantes,15081,Stade Yves Allainmat - Le Moustoir,Johan Hamel,Match Report,
7,Sun,2022-09-11,15:00 (14:00),Ajaccio,0.5,0–1,1.0,Nice,7068,Stade François Coty,Eric Wattellier,Match Report,
7,Sun,2022-09-11,17:05 (16:05),Rennes,2.6,5–0,0.6,Auxerre,27837,Roazhon Park,Thomas Léonard,Match Report,
7,Sun,2022-09-11,20:45 (19:45),Monaco,1.2,2–1,1.8,Lyon,7000,Stade Louis II.,Clément Turpin,Match Report,
,,,,,,,,,,,,,
8,Fri,2022-09-16,21:00 (20:00),Auxerre,2.2,1–3,2.7,Lorient,14866,Stade de l'Abbé Deschamps,Ruddy Buquet,Match Report,
8,Sat,2022-09-17,17:00 (16:00),Montpellier,1.7,2–1,0.5,Strasbourg,10780,Stade de la Mosson,Jeremy Stinat,Match Report,
8,Sat,2022-09-17,21:00 (20:00),Lille,1.2,2–1,0.9,Toulouse,33635,Stade Pierre-Mauroy,Pierre Gaillouste,Match Report,
8,Sun,2022-09-18,13:00 (12:00),Reims,0.3,0–3,1.9,Monaco,10000,Stade Auguste-Delaune II,Marc Bollengier,Match Report,
8,Sun,2022-09-18,15:00 (14:00),Clermont Foot,1.1,1–3,1.6,Troyes,10753,Stade Gabriel Montpied,Jérôme Brisard,Match Report,
