Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,5,Tue,2022-10-25,18:45 (17:45),RB Salzburg at,,,,eng Chelsea,,Red Bull Arena,,Head-to-Head,
Group stage,5,Tue,2022-10-25,18:45 (17:45),Sevilla es,,,,dk FC Copenhagen,,Estadio Ramón Sánchez Pizjuán,,Head-to-Head,
Group stage,5,Tue,2022-10-25,20:00,Celtic sct,,,,ua Shakhtar,,Celtic Park,,Head-to-Head,
Group stage,5,Tue,2022-10-25,20:00,Benfica pt,,,,it Juventus,,Estádio do Sport Lisboa e Benfica,,Head-to-Head,
Group stage,5,Tue,2022-10-25,21:00 (20:00),Paris S-G fr,,,,il Maccabi Haifa,,Parc des Princes,,Head-to-Head,
Group stage,5,Tue,2022-10-25,21:00 (20:00),Dinamo Zagreb hr,,,,it Milan,,Stadion Maksimir,,Head-to-Head,
Group stage,5,Tue,2022-10-25,21:00 (20:00),RB Leipzig de,,,,es Real Madrid,,Red Bull Arena,,Head-to-Head,
Group stage,5,Tue,2022-10-25,21:00 (20:00),Dortmund de,,,,eng Manchester City,,Signal Iduna Park,,Head-to-Head,
Group stage,5,Wed,2022-10-26,18:45 (17:45),Club Brugge be,,,,pt Porto,,Jan Breydelstadion,,Head-to-Head,
Group stage,5,Wed,2022-10-26,18:45 (17:45),Inter it,,,,cz Viktoria Plzeň,,Stadio Giuseppe Meazza,,Head-to-Head,
Group stage,5,Wed,2022-10-26,20:00,Tottenham eng,,,,pt Sporting CP,,Tottenham Hotspur Stadium,,Head-to-Head,
Group stage,5,Wed,2022-10-26,21:00 (20:00),Eint Frankfurt de,,,,fr Marseille,,Commerzbank-Arena,,Head-to-Head,
Group stage,5,Wed,2022-10-26,21:00 (20:00),Napoli it,,,,sct Rangers,,Stadio San Paolo,,Head-to-Head,
Group stage,5,Wed,2022-10-26,21:00 (20:00),Barcelona es,,,,de Bayern Munich,,Camp Nou,,Head-to-Head,
Group stage,5,Wed,2022-10-26,21:00 (20:00),Atlético Madrid es,,,,de Leverkusen,,Estadio Wanda Metropolitano,,Head-to-Head,
Group stage,5,Wed,2022-10-26,21:00 (20:00),Ajax nl,,,,eng Liverpool,,Johan Cruyff ArenA,,Head-to-Head,
,,,,,,,,,,,,,,
Group stage,6,Tue,2022-11-01,17:45,Porto pt,,,,es Atlético Madrid,,Estádio Do Dragão,,Head-to-Head,
Group stage,6,Tue,2022-11-01,18:45 (17:45),Leverkusen de,,,,be Club Brugge,,BayArena,,Head-to-Head,
Group stage,6,Tue,2022-11-01,20:00,Sporting CP pt,,,,de Eint Frankfurt,,Estádio José Alvalade,,Head-to-Head,
Group stage,6,Tue,2022-11-01,20:00,Liverpool eng,,,,it Napoli,,Anfield,,Head-to-Head,
Group stage,6,Tue,2022-11-01,20:00,Rangers sct,,,,nl Ajax,,Ibrox Stadium,,Head-to-Head,
Group stage,6,Tue,2022-11-01,21:00 (20:00),Bayern Munich de,,,,it Inter,,Allianz Arena,,Head-to-Head,
Group stage,6,Tue,2022-11-01,21:00 (20:00),Viktoria Plzeň cz,,,,es Barcelona,,Doosan Arena,,Head-to-Head,
Group stage,6,Tue,2022-11-01,21:00 (20:00),Marseille fr,,,,eng Tottenham,,Orange Vélodrome,,Head-to-Head,
Group stage,6,Wed,2022-11-02,18:45 (17:45),Real Madrid es,,,,sct Celtic,,Estadio Santiago Bernabéu,,Head-to-Head,
Group stage,6,Wed,2022-11-02,19:45 (17:45),Shakhtar ua,,,,de RB Leipzig,,Stadion Miejski Legii Warszawa im. Marsz...,,Head-to-Head,
Group stage,6,Wed,2022-11-02,20:00,Chelsea eng,,,,hr Dinamo Zagreb,,Stamford Bridge,,Head-to-Head,
Group stage,6,Wed,2022-11-02,20:00,Manchester City eng,,,,es Sevilla,,Etihad Stadium,,Head-to-Head,
Group stage,6,Wed,2022-11-02,21:00 (20:00),Juventus it,,,,fr Paris S-G,,Allianz Stadium,,Head-to-Head,
Group stage,6,Wed,2022-11-02,21:00 (20:00),FC Copenhagen dk,,,,de Dortmund,,Telia Parken,,Head-to-Head,
Group stage,6,Wed,2022-11-02,21:00 (20:00),Milan it,,,,at RB Salzburg,,Stadio Giuseppe Meazza,,Head-to-Head,
Group stage,6,Wed,2022-11-02,22:00 (20:00),Maccabi Haifa il,,,,pt Benfica,,Sammy Ofer Stadium,,Head-to-Head,
