Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,2022-09-03,15:30 (14:30),Leverkusen,1.1,2–3,1.4,Freiburg,26853,BayArena,Sascha Stegemann,Match Report,
5,Sat,2022-09-03,15:30 (14:30),Bochum,0.9,0–2,2.2,Werder Bremen,25800,Vonovia Ruhrstadion,Robert Schröder,Match Report,
5,Sat,2022-09-03,18:30 (17:30),Eint Frankfurt,3.1,4–0,0.3,RB Leipzig,49700,Commerzbank-Arena,Felix Brych,Match Report,
5,Sun,2022-09-04,15:30 (14:30),Augsburg,0.3,0–2,1.8,Hertha BSC,25789,WWK Arena,Harm Osmers,Match Report,
5,Sun,2022-09-04,17:30 (16:30),M'Gladbach,1.4,0–1,0.9,Mainz 05,51210,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
,,,,,,,,,,,,,
6,Fri,2022-09-09,20:30 (19:30),Werder Bremen,1.6,0–1,1.2,Augsburg,41000,Weserstadion,Martin Petersen,Match Report,
6,Sat,2022-09-10,15:30 (14:30),Eint Frankfurt,0.5,0–1,0.8,Wolfsburg,49000,Commerzbank-Arena,Tobias Reichel,Match Report,
6,Sat,2022-09-10,15:30 (14:30),RB Leipzig,2.3,3–0,0.4,Dortmund,47069,Red Bull Arena,Sven Jablonski,Match Report,
6,Sat,2022-09-10,15:30 (14:30),Hoffenheim,4.1,4–1,0.8,Mainz 05,20114,PreZero Arena,Daniel Schlager,Match Report,
6,Sat,2022-09-10,15:30 (14:30),Bayern Munich,1.9,2–2,1.2,Stuttgart,75000,Allianz Arena,Christian Dingert,Match Report,
6,Sat,2022-09-10,15:30 (14:30),Hertha BSC,1.6,2–2,1.4,Leverkusen,40643,Olympiastadion Berlin,Benjamin Brand,Match Report,
6,Sat,2022-09-10,18:30 (17:30),Schalke 04,1.3,3–1,0.9,Bochum,62041,Veltins-Arena,Felix Zwayer,Match Report,
6,Sun,2022-09-11,15:30 (14:30),Köln,0.7,0–1,1.3,Union Berlin,49500,RheinEnergieSTADION,Benjamin Cortus,Match Report,
6,Sun,2022-09-11,17:30 (16:30),Freiburg,1.1,0–0,1.1,M'Gladbach,34700,Europa-Park Stadion,Tobias Stieler,Match Report,
,,,,,,,,,,,,,
7,Fri,2022-09-16,20:30 (19:30),Mainz 05,0.8,1–1,0.2,Hertha BSC,25300,Opel Arena,Frank Willenborg,Match Report,
7,Sat,2022-09-17,15:30 (14:30),Augsburg,1.2,1–0,1.8,Bayern Munich,30660,WWK Arena,Marco Fritz,Match Report,
7,Sat,2022-09-17,15:30 (14:30),Dortmund,1.7,1–0,0.1,Schalke 04,81100,Signal Iduna Park,Felix Brych,Match Report,
7,Sat,2022-09-17,15:30 (14:30),Leverkusen,1.9,1–1,1.7,Werder Bremen,30210,BayArena,Tobias Welz,Match Report,
7,Sat,2022-09-17,15:30 (14:30),Stuttgart,0.9,1–3,1.0,Eint Frankfurt,47500,Mercedes-Benz Arena,Daniel Siebert,Match Report,
7,Sat,2022-09-17,18:30 (17:30),M'Gladbach,3.1,3–0,1.2,RB Leipzig,50186,Stadion im Borussia-Park,Patrick Ittrich,Match Report,
