,ID,Category,Date,Name,Score,Active
73,73,Hockey,2022-10-22,Boston Bruins - Minnesota Wild,4 - 3,False
74,74,Hockey,2022-10-22,Columbus Blue Jackets - Pittsburgh Penguins,3 - 6,False
75,75,Hockey,2022-10-22,Calgary Flames - Carolina Hurricanes,3 - 2,False
76,76,Hockey,2022-10-22,Edmonton Oilers - St. Louis Blues,0 - 2,False
77,77,Hockey,2022-10-22,Montreal Canadiens - Dallas Stars,2 - 5,False
78,78,Hockey,2022-10-22,New Jersey Devils - San Jose Sharks,2 - 1,False
79,79,Hockey,2022-10-22,Nashville Predators - Philadelphia Flyers,1 - 3,False
80,80,Hockey,2022-10-22,Ottawa Senators - Arizona Coyotes,6 - 2,False
81,81,Hockey,2022-10-22,Tampa Bay Lightning - New York Islanders,5 - 3,False
82,82,Hockey,2022-10-22,Vancouver Canucks - Buffalo Sabres,1 - 5,False
83,83,Hockey,2022-10-22,Vegas Golden Knights - Colorado Avalanche,2 - 3,False
84,84,Hockey,2022-10-22,Winnipeg Jets - Toronto Maple Leafs,1 - 4,False
85,85,Hockey,2022-10-22,Washington Capitals - Los Angeles Kings,4 - 3,False
86,86,Hockey,2022-10-23,Chicago Blackhawks - Seattle Kraken,5 - 4,False
87,87,Hockey,2022-10-23,Detroit Red Wings - Anaheim Ducks,5 - 1,False
88,88,Hockey,2022-10-23,Florida Panthers - New York Islanders,3 - 2,False
89,89,Hockey,2022-10-23,New York Rangers - Columbus Blue Jackets,1 - 5,False
90,90,Hockey,2022-10-23,Philadelphia Flyers - San Jose Sharks,0 - 3,False
91,91,Hockey,2022-10-24,Edmonton Oilers - Pittsburgh Penguins,6 - 3,False
92,92,Hockey,2022-10-24,New Jersey Devils - Washington Capitals,3 - 6,False
93,93,Hockey,2022-10-24,Ottawa Senators - Dallas Stars,4 - 2,False
94,94,Hockey,2022-10-24,Vancouver Canucks - Carolina Hurricanes,2 - 3,False
95,95,Hockey,2022-10-24,Vegas Golden Knights - Toronto Maple Leafs,3 - 1,False
96,96,Hockey,2022-10-24,Winnipeg Jets - St. Louis Blues,4 - 0,False
97,97,Hockey,2022-10-25,Boston Bruins - Dallas Stars,3 - 1,False
98,98,Hockey,2022-10-25,Columbus Blue Jackets - Arizona Coyotes,3 - 6,False
99,99,Hockey,2022-10-25,Calgary Flames - Pittsburgh Penguins,4 - 1,False
100,100,Hockey,2022-10-25,Chicago Blackhawks - Florida Panthers,4 - 2,False
101,101,Hockey,2022-10-25,Detroit Red Wings - New Jersey Devils,2 - 6,False
102,102,Hockey,2022-10-25,Los Angeles Kings - Tampa Bay Lightning,4 - 2,False
103,103,Hockey,2022-10-25,Montreal Canadiens - Minnesota Wild,1 - 3,False
104,104,Hockey,2022-10-25,New York Rangers - Colorado Avalanche,2 - 3,False
105,105,Hockey,2022-10-25,Seattle Kraken - Buffalo Sabres,5 - 1,False
106,106,Hockey,2022-10-25,San Jose Sharks - Vegas Golden Knights,2 - 4,False
107,107,Hockey,2022-10-26,Anaheim Ducks - Tampa Bay Lightning,2 - 4,False
108,108,Hockey,2022-10-26,New York Islanders - New York Rangers,3 - 0,False
109,109,Hockey,2022-10-26,St. Louis Blues - Edmonton Oilers,1 - 3,False
110,110,Hockey,2022-10-27,Boston Bruins - Detroit Red Wings,5 - 1,False
